front,back,hint,publishedAt
"meidän","our","Meidän talo on suuri.","2025-11-30T15:01:41.467Z"
"hanhien","goose","Hanhien ääni kuuluu kauas järven rannalta.","2025-12-12T19:20:52.577Z"
"Käteisellä vai kortilla?","Cash or card?","Voit maksaa käteisellä vai kortilla?","2025-11-30T15:00:32.493Z"
"talo","house","Minun taloni on suuri.","2025-11-30T15:02:37.912Z"
"nuori","young","Nuori sukupolvi tuo uusia ideoita.","2025-11-30T15:02:41.603Z"
"liikunta","sport","Meillä on liikuntatunti joka tiistai.","2024-11-07T05:33:43.270Z"
"vaatekaappi","wardrobe","Minun vaatekaappini on täynnä vaatteita.","2024-11-07T05:27:10.700Z"
"muu","Other","Valitse muu väri.","2024-11-27T21:23:02.796Z"
"pohjoinen","North","Pohjoinen Suomi on kaunis kesällä.","2025-04-03T06:14:00.052Z"
"etäisyys","the distance","Etäisyys kahden kaupungin välillä on 100 kilometriä.","2026-01-11T19:04:13.099Z"
"taipumus","Tendency","Hänellä on taipumus olla optimistinen.","2026-01-11T19:04:17.558Z"
"Sataa lunta","It's snowing","Kun sataa lunta, maisema on niin kaunis.","2025-11-30T15:01:57.167Z"
"Olen samalla kurssilla Alexin kanssa","I'm on the same course with Alex","Olen samalla kurssilla Pedron ja Alexin kanssa.","2026-02-05T06:19:36.305Z"
"eteläafrikkalainen","South African (person/adj)","Minä olen eteläafrikkalainen.","2026-01-31T06:24:11.067Z"
"kuoriainen","a beetle","Hän löysi kiiltävän vihreän kuoriaisen puutarhasta.","2026-01-11T19:04:15.921Z"
"jäätelökioski","ice cream kiosk","","2024-11-07T05:24:15.740Z"
"Minulla ei ole perhettä Suomessa","I don't have family in Finland","Minulla ei ole perhettä Suomessa, mutta minulla on iso suku.","2026-02-05T06:19:28.163Z"
"maksuton","free of charge","Kirjastossa on maksuton pääsy.","2025-12-12T19:20:29.427Z"
"ruuhkautunut","congested","Liikenne on ruuhkautunut tänään.","2026-01-31T09:55:48.691Z"
"sairaala","hospital","Minun täytyy mennä sairaalaan.","2025-11-28T15:40:46.436Z"
"moitteettomasti","flawlessly","Kunnossapito on tärkeää, jotta laitteet toimivat moitteettomasti.","2026-01-29T05:27:49.619Z"
"rauhallinen","calm","Luonto on rauhallinen tänä aamuna.","2025-11-30T15:02:33.996Z"
"silmälasit","Eyeglasses","Minulla on uudet silmälasit.","2025-11-30T15:02:47.274Z"
"kaloreita / kalori","calories / calorie","Yksi suklaapatukka sisältää noin 250 kaloria.","2026-01-26T08:41:50.443Z"
"jono","a queue","Bussipysäkillä oli pitkä jono.","2026-01-11T19:03:50.152Z"
"Hyvää ruokahalua!","Bon appétit! Enjoy your meal!","Äiti sanoi: \"Hyvää ruokahalua!\" ennen kuin aloitimme syömisen.","2024-10-22T19:03:02.605Z"
"perhonen","butterfly","Perhonen lentää lähellä maata.","2026-01-11T19:04:19.562Z"
"hoikka","slim","Hän on todella hoikka.","2025-11-30T15:02:30.616Z"
"myyjä","Seller","Myyjä auttaa asiakkaita valitsemaan tuotteita.","2025-12-09T11:01:05.709Z"
"nainen","woman","Nainen työskentelee lääkärinä.","2025-12-12T19:19:45.067Z"
"muut","others","Muut opiskelijat menevät kotiin.","2026-02-02T06:13:24.842Z"
"maanantaina","on Monday","Kurssi alkaa maanantaina.","2026-02-03T06:34:09.752Z"
"taitava","clever","Minun vaimoni on todella taitava kokki.","2026-01-12T15:57:01.793Z"
"vaali","election","Vaali on tärkeä osa demokratiaa.","2026-01-31T09:34:41.143Z"
"puhelias","talkative","Hän on todella puhelias henkilö.","2025-11-30T15:02:38.807Z"
"valo","light","Valo paistaa ikkunasta.","2026-01-17T07:51:56.640Z"
"kansalaisuus","citizenship","Hän sai Suomen kansalaisuuden viime vuonna.","2025-04-03T06:12:34.487Z"
"Näkemiin!","Goodbye!","Näkemiin, nähdään huomenna!","2024-10-22T18:58:16.795Z"
"yksio","single","Mina on yksio.","2026-01-30T17:29:00.018Z"
"miljoona","million","Hän voitti miljoona euroa lotossa.","2024-10-27T20:19:09.151Z"
"naimisissa","Married","Olen naimisissa.","2025-11-30T15:02:28.232Z"
"Niin varmaan","Surely","Niin varmaan, että hän tulee tänään.","2025-11-30T15:01:39.860Z"
"eilen","yesterday","Minä kävin eilen elokuvassa.","2024-10-22T19:09:40.632Z"
"Voisitko auttaa minua","Could you help me","Voisitko auttaa minua?","2026-02-05T06:19:44.408Z"
"osa","a part","Minä haluan osan tästä kakusta.","2026-01-11T19:03:42.300Z"
"sähköpostiosoite","e-mail address","Minun sähköpostiosoitteeni on esimerkki@gmail.com.","2025-11-30T15:02:26.677Z"
"sunnuntai","Sunday","Me menemme kirkkoon sunnuntaina.","2024-10-22T19:08:02.883Z"
"käsineet","gloves","Minulla on uudet käsineet.","2025-12-12T19:18:22.258Z"
"Kokemus","experience","Kiitos upeasta kokemuksesta!","2026-01-11T19:04:27.436Z"
"markkinointi","marketing","Markkinointikampanja sai paljon huomiota sosiaalisessa mediassa.","2026-01-18T12:19:25.539Z"
"päiväys","the date","Voitko kertoa minulle tämän päivän päiväyksen?","2025-11-30T15:02:27.733Z"
"suuri","large","Meillä on suuri koira.","2025-11-30T15:01:50.279Z"
"klubikortti","club card","Minulla on klubikortti paikallisessa urheiluklubissa.","2025-12-09T11:00:31.135Z"
"kuva / kuvia","image / images","Muista hymyillä, kun otat kuvia!","2026-01-13T19:30:20.525Z"
"onnea","congratulations","Onnea syntymäpäivänäsi!","2026-02-11T16:09:40.604Z"
"suklaajäätelö","chocolate ice cream","","2024-11-07T05:23:52.562Z"
"kolmesataa","three hundred","Kolmesataa ihmistä tuli juhliin.","2024-10-27T20:18:13.895Z"
"henkilötiedot","personal data","Voit täyttää henkilötiedot lomakkeeseen.","2025-11-30T15:02:17.115Z"
"huoltaa / huolto","to service / service","Huoltoasemalla voi saada apua auton huoltoon.","2026-01-25T16:58:23.353Z"
"kihara","curly","Hänellä on kauniit kiharat hiukset.","2025-11-30T15:02:39.194Z"
"suoriutua","to manage a certain task","Tentti oli vaikea, mutta suoriuduin hyvin.","2026-01-15T11:35:22.431Z"
"Rannat","Beaches","Kesällä lapset leikkivät rannat ja keräävät kiviä.","2025-12-12T19:20:52.972Z"
"paras","best","Hän on paras ystäväni.","2026-01-29T14:39:54.101Z"
"sisään","in","Voit tulla sisään, ovi on auki.","2025-12-12T19:19:45.109Z"
"työtuoli","office chair","Minulla on uusi työtuoli kotona.","2024-11-07T05:27:53.214Z"
"vokaalit","vocals","","2024-10-27T20:20:47.011Z"
"koe","test","Minulla on koe huomenna.","2026-01-19T14:27:44.335Z"
"mitä","what","Mitä tämä maksaa?","2025-11-30T15:00:43.611Z"
"suru","mourning","Minulla on suru sydämessäni.","2026-01-24T09:15:04.307Z"
"mä vaan katselen","I'm just looking","Kiitos, mä vaan katselen.","2026-02-05T06:19:54.161Z"
"Minä herään kello 6, kun herätyskello soi","I wake up at 6 when the alarm rings","Minä herään kello 6, kun herätyskello soi.","2026-02-10T07:29:18.850Z"
"tasolle kaks","for level two","Mä haluaisin ilmoittautua suomen kurssille, tasolle kaks.","2026-02-03T06:34:17.007Z"
"Mitä tarkoittaa","what does ... mean","Mitä tarkoittaa postitoimipaikka?","2026-02-03T06:34:15.276Z"
"joten","so","Olin myöhässä, joten en ehtinyt bussiin.","2025-12-12T19:20:37.057Z"
"Voisitko toistaa / puhua hitaammin?","Could you repeat / speak more slowly?","En ymmärrä. Voisitko toistaa?","2026-02-05T06:19:47.647Z"
"kiska","kiosk","Vedä kiskasta, niin ovi avautuu.","2025-04-03T06:16:02.361Z"
"moskeija","a mosque","Helsingissä on kaunis moskeija.","2026-01-11T19:04:25.929Z"
"kotoisin","from","Olen kotoisin Helsingistä.","2025-11-30T14:58:56.049Z"
"lokakuu","October","Lokakuussa on usein kylmää.","2025-11-30T15:02:05.884Z"
"viisi","five","Minulla on viisi omenaa.","2024-10-27T20:11:46.490Z"
"parkkihalli","parking hall","Missä on lähin parkkihalli?","2025-12-12T19:20:28.269Z"
"suunta","Direction","Minun on valittava suunta, johon haluan mennä.","2025-12-12T19:20:55.278Z"
"naulakko","coat rack","Voit laittaa takin naulakkoon.","2025-12-12T19:20:03.213Z"
"Kuinka monta astetta ulkona on?","What is the temperature outside?","Kuinka monta astetta ulkona on tänään?","2025-11-30T15:01:52.797Z"
"Aurinko paistaa","The sun is shining","Kun aurinko paistaa, ulkona on mukavaa.","2025-11-30T15:01:17.412Z"
"tavata","meet","Haluan tavata sinut huomenna.","2025-12-12T19:20:21.341Z"
"tulkaa","come to","Tulkaa tänne, niin voimme aloittaa.","2025-12-12T19:20:11.355Z"
"turhauttava","frustrating","Uuden kielen oppiminen voi olla ajoittain turhauttavaa.","2026-01-11T19:04:13.637Z"
"englanti","English","Minä opiskelen englantia koulussa.","2024-11-27T21:27:36.600Z"
"Minun mielestäni","In my opinion","Minun mielestäni asunto on kiva.","2026-02-05T06:19:29.801Z"
"kassi","bag","Ostin uuden kassin kaupasta.","2025-12-09T11:01:04.605Z"
"aamu","morning","Hyvää huomenta! Onko sinulla suunnitelmia aamulla?","2025-11-30T15:02:07.089Z"
"Tuoda","to bring","Voitko tuoda minulle kirjan?","2026-01-27T18:43:08.346Z"
"kerta","once","Olen käynyt siellä vain kerran.","2025-11-30T15:01:39.090Z"
"kamala","terrible / awful","Minulla on kamala nälkä.","2026-02-10T07:29:04.273Z"
"vastaus","In reply to, answer","Hänen vastauksensa oli oikein.","2024-11-07T05:36:09.305Z"
"nopeasti","quickly","Kani juoksi nopeasti pakoon kettua.","2026-01-11T19:04:20.418Z"
"ruotsi","Swedish","Minä opiskelen ruotsia koulussa.","2024-11-07T05:33:20.283Z"
"muro","cereal","Lapset syövät yleensä muroja.","2026-02-10T07:29:02.679Z"
"Kuulstaa hyvältä","Sounds good","Uusi projekti kuulostaa hyvältä, aloitetaan se heti.","2025-11-30T15:01:48.053Z"
"vahingossa","accidentally","Hän lähetti viestin vahingossa väärälle henkilölle.","2026-01-11T19:04:12.316Z"
"helikopteri","helicopter","Helikopteri laskeutui kentälle.","2025-12-12T19:20:31.755Z"
"rullaverho","Roller blinds","Me ostimme uudet rullaverhot olohuoneeseen.","2024-11-07T05:26:53.617Z"
"siitä","about it / from it (elative)","Minä pidän siitä.","2026-02-05T06:19:57.418Z"
"kaksikymmentäyksi","twenty-one","Minä olen kaksikymmentäyksi vuotta vanha.","2024-10-27T20:16:39.861Z"
"Kesä","Summer","Kesällä on lämmin.","2025-11-30T15:01:59.424Z"
"iltapäivä","afternoon","Me menemme puistoon iltapäivällä.","2025-11-30T15:02:08.812Z"
"tänne","to here","Tuletko tänne?","2026-02-01T06:27:07.581Z"
"voinko häiritä sinua?","can I bother you?","Anteeksi, voinko häiritä sinua?","2026-02-10T07:29:15.541Z"
"helle","hot weather","Kesällä on usein helle.","2025-11-30T15:01:53.640Z"
"syntymäaika","date of birth","Voisitko kertoa minulle syntymäaikasi?","2025-11-30T15:02:26.970Z"
"Nähdään suoraan uimahallilla.","See you right at the swimming hall.","Nähdään suoraan uimahallilla.","2026-02-10T07:29:13.980Z"
"kertaa","Times, *","Tein sen kolme kertaa.","2024-11-07T05:31:25.528Z"
"muutto","move","Meidän perheemme tekee muuton ensi kuussa.","2025-12-12T19:19:42.417Z"
"kiire","hurry","Minulla on kiire.","2026-01-18T18:42:14.733Z"
"mäkin","me too","Mäkin haluan mennä elokuviin.","2025-11-30T14:59:59.161Z"
"satunnaisesti","randomly","Numerot valittiin satunnaisesti arvontaan.","2026-01-11T19:03:52.669Z"
"otaks sä (otatko sinä)","would  you like","Otaks sä mukaan elokuviin tänä iltana?","2025-12-12T19:18:56.743Z"
"ystävä","friend","Ystäväni auttoi minua vaikeassa tilanteessa.","2025-11-30T15:00:51.850Z"
"(äidin) luona","at my mother's","Hän viipyi ystävien luona koko viikonlopun.","2026-01-18T08:53:17.197Z"
"herätykello","alarm clock","Minun herätykello soi joka aamu klo 7.","2025-12-12T19:18:26.157Z"
"elokuu","August","Elokuussa on usein kauniita ilmoja.","2025-11-30T15:02:05.351Z"
"Tässä on Sahar.","This is Sahar.","","2024-10-22T18:57:41.307Z"
"tarviitko","Do you need","","2025-11-30T15:00:20.070Z"
"muuttaa","move, change","Hän haluaa muuttaa mielipidettään.","2025-11-30T15:01:41.061Z"
"valmis","ready","Ruoka on valmis.","2025-11-30T15:02:22.024Z"
"Ai niin totta","Oh that's true","Ai niin totta, unohdin kokonaan sen tapaamisen!","2025-11-30T15:01:45.539Z"
"pysäköinti","Parking","Missä on lähin pysäköinti?","2025-12-12T19:20:28.050Z"
"pystyä","be able to","Hän pystyi saamaan läksynsä valmiiksi ajoissa.","2026-01-11T19:04:12.505Z"
"erityistä","special","Tämä on erityistä aikaa elämässäni.","2026-01-16T14:26:22.896Z"
"oppilas","student","Kirjat annetaan oppilaille koulussa.","2026-01-13T12:29:27.297Z"
"kiinnittää","to attach","Voit kiinnittää taulun seinälle.","2026-01-18T16:29:59.833Z"
"allekirjoitus","signature","Ilman allekirjoitusta, asiakirja ei ole voimassa.","2025-11-30T15:02:27.965Z"
"maauimalat","outdoor swimming pool","Kesällä me käymme usein maauimalassa ystävien kanssa.","2025-12-12T19:20:53.268Z"
"Sen jälkeen teen keittiössä aamupalaa","After that I make breakfast in the kitchen","Sen jälkeen teen keittiössä aamupalaa.","2026-02-10T07:29:24.067Z"
"mistä","where from","Mistä sinä tulet?","2024-11-27T21:26:14.693Z"
"Onks tätä mustana?","Do you have this in black?","Onks tätä myös mustana?","2026-02-05T06:19:39.736Z"
"pysy","stay","Pysy tässä hetkeksi.","2026-01-16T10:31:58.252Z"
"onks täältä ällä","do you have this in size L? (spoken)","Anteeksi, onks täältä ällä?","2026-02-05T06:19:55.817Z"
"sairaus","a disease","Hänellä on vakava sairaus.","2026-01-11T19:04:02.619Z"
"vuosittain","annually","Meillä on vuosittain perhekokous.","2026-01-11T19:04:16.371Z"
"toinen","second, another","Toinen kirja on mielenkiintoisempi.","2025-11-30T15:02:11.959Z"
"kuuma","hot","Kesällä on kuuma.","2025-11-30T15:01:48.868Z"
"vielä","still / more or another","en ole vielä valmis / haluatko vielä kahvia?","2025-11-30T15:01:40.264Z"
"Entä sinulle?","What about you?","Minä pidän jäätelöstä. Entä sinulle?","2024-10-21T17:54:58.214Z"
"yöksi","for the night","Menemme nukkumaan yöksi aikaisin.","2025-12-12T19:20:36.599Z"
"jos","if","Jos sataa, jäämme kotiin.","2025-12-12T19:20:15.908Z"
"Kiitos etukäteen avusta","Thanks in advance for your help","Kiitos etukäteen avusta.","2026-02-05T06:19:26.673Z"
"mukava","nice","Meillä oli mukava päivä puistossa.","2025-11-30T15:01:38.200Z"
"Illalla katsomme televisiota.","In the evening we watch TV","Illalla katsomme televisiota.","2026-02-10T07:29:31.989Z"
"peittää","to cover","Peitä ruokasi, jotta se ei jäähtyisi.","2026-01-11T19:04:21.074Z"
"tarvitsetko","do you need","Tarvitsetko apua?","2025-11-30T15:00:21.708Z"
"Niin kuulemma","So I've heard","Niin kuulemma se uusi elokuva on todella hyvä.","2025-11-30T15:01:45.922Z"
"omistusasunto","owner-occupied dwelling","Omistusasunto on hyvä sijoitus tulevaisuutta varten.","2025-12-12T19:20:05.356Z"
"(sinua) varten","for you","Ostin lahjan sinua varten.","2026-01-13T19:08:07.058Z"
"historia","history","Suomen historia on hyvin mielenkiintoinen.","2024-11-07T05:34:01.055Z"
"tavallinen","ordinary / usual","Kerro: Minun tavallinen päivä.","2026-02-10T07:29:17.198Z"
"mulla ei oo aikaa","I don't have time","Mulla ei oo aikaa tehdä läksyjä nyt.","2025-12-12T19:19:13.862Z"
"vasta","only","Minä olen vasta 10-vuotias.","2025-11-30T15:01:04.494Z"
"järjestää","to organise","Hän järjestää kokouksen ensi viikolla.","2026-01-29T14:34:37.940Z"
"Laite","Device","Laite ei toimi oikein.","2026-01-29T05:29:37.376Z"
"kaksimiljoonaa","two million","","2024-10-27T20:19:23.979Z"
"kapea","narrow","Tie on kapea.","2025-12-12T19:19:57.094Z"
"Sataa räntää","snowing wet snow, Sleet","Kun sataa räntää, on paras jäädä sisälle.","2025-11-30T15:01:56.903Z"
"avautua","to brcome open","Upea maisema avautui meidän eteemme.","2026-01-14T05:39:22.790Z"
"hyvinvointi","well-being","Hyvinvointi on tärkeää kaikille.","2026-01-16T14:33:24.142Z"
"mitään","anything (in negative)","Tuula ei syö aamulla mitään.","2026-02-10T07:28:54.536Z"
"pakettiauto","van","Pakettiauto saapui juuri ajoissa.","2025-12-12T19:19:43.598Z"
"ystävällinen","friendly","Hän on todella ystävällinen ihminen.","2025-11-30T15:02:41.098Z"
"pöytälamppu","table lamp","Minulla on uusi pöytälamppu olohuoneessa.","2024-11-07T05:26:29.766Z"
"Missä nähdään?","Where do we meet?","Missä nähdään?","2026-02-10T07:29:12.377Z"
"saapua","arrive","Hän saapui kotiin myöhään illalla.","2025-12-12T19:20:35.570Z"
"liikaa","too much","Syön liikaa makeisia.","2026-01-26T08:40:37.245Z"
"säästää","save","Minun täytyy säästää rahaa lomamatkaa varten.","2024-11-27T21:24:27.017Z"
"oppia","to learn","Hän oppi soittamaan kitaraa.","2026-01-18T12:10:06.675Z"
"On puolipilvistä","It's half cloudy","On puolipilvistä tänään, mutta ei sada.","2025-11-30T15:01:56.045Z"
"etelä","South","Etelä-Suomessa on paljon metsiä.","2024-11-27T21:26:46.908Z"
"lääketiede","medicine","Hän opiskelee lääketiedettä yliopistossa.","2026-01-25T16:47:46.105Z"
"koulutus","education","Koulutus on tärkeä osa elämää.","2026-01-15T11:31:23.716Z"
"etene","to proceed / to advance","Hän haluaa etene urallaan ja oppia uusia taitoja.","2026-01-18T12:07:42.508Z"
"lunta","snow","“Tänä talvena on paljon lunta.”","2025-11-30T15:01:57.455Z"
"kulkuväline","means of transport","Autot ja bussit ovat yleisiä kulkuvälineitä kaupungissa.","2025-12-12T19:20:30.322Z"
"Käyks viideltä?","How about at five?","Käyks viideltä? Joo, sopii!","2026-02-10T07:29:06.017Z"
"kysyä","to ask","Voinko kysyä jotakin?","2026-02-02T06:13:23.290Z"
"ensin","first","Ensin sinun täytyy tehdä läksyt.","2024-11-27T21:30:00.220Z"
"vanheta","to age (verb)","vanhenen → vanhene (connegative)","2026-02-10T07:28:52.929Z"
"Haluaisin varata ajan","I would like to book an appointment","Haluaisin varata ajan lääkärille.","2026-02-05T06:19:21.746Z"
"muovipussi","plastic bag","Ostin muovipussin kaupasta.","2025-12-09T11:01:03.362Z"
"kaksitoista","twelve","Hän on kaksitoista vuotta vanha.","2024-10-27T20:13:32.558Z"
"etsiä","search","Minä etsin avaimiani.","2024-11-07T05:25:32.198Z"
"sattua","to happen / to ache","Jos putoan, se sattuu.","2026-01-19T05:27:22.291Z"
"kertoa","tell","Voitko kertoa, missä se on?","2025-11-30T15:01:44.775Z"
"keskus","central","Helsingin keskus on vilkas paikka.","2025-12-15T06:02:33.673Z"
"helmikuu","February","Helmikuussa on kylmä.","2025-11-30T15:02:00.715Z"
"en tiedä","I don't know","","2025-11-30T15:02:24.867Z"
"farkkutakkia","denim jacket","Ostin farkkutakkia alennuksesta.","2025-12-09T11:01:06.525Z"
"teatteri","theater","Me menemme teatteriin tänä iltana.","2025-12-12T19:20:23.858Z"
"satayksi","satayksi","Minulla on satayksi omenaa.","2024-10-27T20:17:51.576Z"
"tarvita","need","Minä tarvitsen apua.","2025-12-09T11:01:02.176Z"
"yhdeksänkymmentä","Ninety","Hän on yhdeksänkymmentä vuotta vanha.","2024-10-27T20:17:35.174Z"
"missä","where","Missä sinä asut?","2025-12-09T11:00:49.462Z"
"asema","station","Me menemme rautatieasemalle.","2025-12-12T19:20:27.169Z"
"on tuulista","is windy","Ulkona on tuulista tänään.","2025-11-30T15:01:15.013Z"
"sinkku","Single person","Hän on sinkku ja etsii kumppania.","2025-11-30T15:02:36.149Z"
"joulukuu","December","Joulukuussa on paljon joulutapahtumia.","2025-11-30T15:02:06.754Z"
"ääntäminen","pronunciation","Ääntäminen on tärkeä osa kielen oppimista.","2024-10-27T20:20:36.549Z"
"sää","weather","Millainen sää tänään on?","2025-11-30T15:01:08.077Z"
"nimellä","under the name","Hän tunnetaan nimellä \"Suomen mestari\".","2025-12-12T19:20:51.175Z"
"kuinka","how","Kuinka tämä kone toimii?","2025-11-30T15:00:46.699Z"
"rannoilla","on the beaches","Lapset leikkivät rannoilla auringonpaisteessa.","2025-12-12T19:20:52.725Z"
"verhot","curtains","Verhot estävät auringonvalon.","2025-12-12T19:20:01.056Z"
"asunto","apartment","Minulla on uusi asunto Helsingissä.","2025-12-12T19:20:04.454Z"
"kirjahylly","bookshelf","Minulla on uusi kirjahylly olohuoneessa.","2024-11-07T05:27:22.113Z"
"lopulta","eventually","Joukkue teki kovasti töitä koko kauden ja voitti lopulta mestaruuden.","2026-01-11T19:04:31.490Z"
"vaalea","blond","Hänellä on vaalea hiukset.","2025-11-30T15:02:44.328Z"
"tietysti","Of course","Tietysti minä tulen juhliin.","2025-12-12T19:20:36.805Z"
"täällä","here","Täällä on kaunis puisto.","2025-11-28T15:41:17.444Z"
"No sopiks viideltä?","So does five o'clock work?","No sopiks viideltä? Joo, sopii!","2026-02-10T07:29:09.131Z"
"jännittävä","exciting","Kilpailu oli erittäin jännittävä.","2026-01-21T05:49:49.200Z"
"välillä","between","Etäisyys kahden kaupungin välillä on 100 kilometriä.","2026-01-31T09:37:30.017Z"
"seitsemän","seven","Kello on seitsemän.","2024-10-27T20:12:35.065Z"
"johon","on which","Se on paikka, johon haluan matkustaa.","2026-01-18T16:46:15.802Z"
"matala","low","Järvi on matala.","2025-12-12T19:19:56.601Z"
"täti","aunt","Minun tätini on todella mukava.","2025-11-30T15:02:37.186Z"
"odottaa","wait","Odotan bussia.","2025-12-12T19:19:40.470Z"
"hotelli","hotel","Missä on lähin hotelli?","2025-12-12T19:20:18.552Z"
"sori mut mä en ehdi","sorry but I'm busy","Sori mut mä en ehdi auttamaan nyt.","2025-12-12T19:19:15.565Z"
"museo","museum","Me menemme museoon tänään.","2025-12-12T19:20:21.949Z"
"helppo","easy","On helppo ymmärtää, miksi hän teki niin.","2025-11-30T15:01:36.522Z"
"prosentti","Percent","Väestöstä 20 prosenttia puhuu suomea.","2025-12-09T11:00:41.137Z"
"tietokone","computer","Minulla on uusi tietokone.","2025-12-12T19:20:00.627Z"
"suoraan","directly / straight","Nähdään suoraan uimahallilla.","2026-02-10T07:29:01.084Z"
"videopuhelu","video call","Voimmeko tehdä videopuhelun tänään?","2025-11-30T15:00:54.278Z"
"tarkkaavaista","Watchful","Hän on hyvin tarkkaavaista opiskelija.","2026-01-29T14:29:18.221Z"
"ensimmäinen","first","Hän on ensimmäinen oppilas luokassani.","2025-12-12T19:20:12.856Z"
"lapset menevät nukkumaan.","the children go to bed","Sitten sanomme hyvää yötä ja lapset menevät nukkumaan.","2026-02-10T07:29:28.710Z"
"Ystävällisin terveisin,","Kind regards,","Ystävällisin terveisin, Alex.","2026-02-05T06:19:49.303Z"
"mennä pelaamaan","go to play","Huomenna aiomme mennä pelaamaan lautapelejä ystävien kanssa.","2025-12-12T19:19:01.627Z"
"hedelmä","fruit","Minä rakastan hedelmiä.","2026-01-18T16:28:31.298Z"
"Missä me nähään?","Where do we meet? (spoken)","Missä me nähään?","2026-02-10T07:29:10.660Z"
"Ai niin!","Oh yes!","Ai niin! Sinä olit mukana siinä projektissa.","2024-11-27T21:28:17.686Z"
"Onks tästä vihreää?","Do you have this in green?","Onks tästä vihreää?","2026-02-05T06:19:37.956Z"
"vanilja","vanilla","Minä rakastan vaniljaa jäätelössä.","2025-12-09T11:00:16.374Z"
"olla tilaa","to have space","Autossa ei ole tilaa kaikille.","2025-11-30T15:02:12.219Z"
"kyytiin","on board","Odotan kyytiin pääsyä bussissa.","2026-01-18T18:43:35.156Z"
"kasva","grows","Ruoho kasvaa nopeasti keväällä.","2026-01-21T05:50:51.447Z"
"kuntosalille","to the gym","Menemme kuntosalille tänään.","2025-12-12T19:19:03.932Z"
"pöytä","table","Pöydällä on kirja.","2025-12-12T19:18:56.258Z"
"musiikki","music","Minä rakastan musiikkia.","2024-11-07T05:35:28.197Z"
"Tarvitsen","I need","Tarvitsen apua.","2026-02-05T06:19:41.258Z"
"rivitalo","terraced house","Me asumme rivitalossa kaupungin laidalla.","2025-12-12T19:20:03.955Z"
"puen sitten päälle","then I get dressed","Ensiksi käyn suihkussa ja puen sitten päälle.","2026-02-10T07:29:22.048Z"
"loma","holiday","Minulla on loma ensi viikolla.","2025-12-15T06:44:51.946Z"
"vaatekoot","clothing sizes","Muista tarkistaa vaatekoot ennen ostopäätöstä!","2025-12-09T11:01:07.936Z"
"kaksituhatta","two thousand","Vuosi kaksituhatta oli erityinen.","2024-10-27T20:18:38.123Z"
"erikoisuus","speciality","Paikan erikoisuus on sen kaunis maisema.","2025-12-12T19:20:17.300Z"
"sopia","to agree, to arrange","Voimmeko sopia tapaamisen ensi viikolla?","2025-12-12T19:18:58.651Z"
"eteenpäin","forward","Meidän täytyy mennä eteenpäin.","2026-01-18T08:48:18.624Z"
"aamupaivä","morning","","2025-11-30T15:02:07.869Z"
"Yhdeksältä lapset pesevät hampaat","At nine the children brush their teeth","Yhdeksältä lapset pesevät hampaat.","2026-02-10T07:29:33.740Z"
"kaunis","beautiful","Kesäyö on kaunis.","2025-11-30T15:01:50.939Z"
"suorran","straight","Suorran hiukseni ennen juhlia.","2025-12-12T19:18:59.806Z"
"ei oo","Is not","Se ei oo totta.","2025-12-12T19:19:14.089Z"
"rauhassa","in peace","Hän haluaa olla rauhassa.","2025-12-09T11:00:26.623Z"
"yliopisto","university","Hän opiskelee yliopistossa.","2025-12-12T19:20:25.844Z"
"mekko","dress","Mekko on liian tiukka minulle.","2025-12-09T11:01:09.323Z"
"Nukuitko hyvin?","Did you sleep well?","Nukuitko hyvin, kun olit mökillä?","2025-12-12T19:18:56.754Z"
"lapsi","child","Lapsi leikkii puistossa.","2025-11-30T15:02:29.246Z"
"Tänään aion mennä","Today I'm planning to go","Tänään aion mennä elokuviin.","2026-02-05T06:19:42.829Z"
"Sitten sanomme \"hyvää yötä\"","Then we say good night","Sitten sanomme \"hyvää yötä\" ja lapset menevät nukkumaan.","2026-02-10T07:29:27.125Z"
"yhdeksän","nine","Yhdeksän on suuri luku.","2024-10-27T20:12:58.280Z"
"yhtä hyvin kuin","as well as","Voit tehdä tämän yhtä hyvin kuin minäkin.","2025-11-30T15:01:39.484Z"
"sukat","socks","Talvella käytän paksuja sukkia.","2025-12-09T11:01:10.312Z"
"Lapset syövät yleensä muroja","The children usually eat cereal","Lapset syövät yleensä muroja ja minä syön leipää.","2026-02-10T07:29:30.341Z"
"sanotaan","say","Sanotaan, että jokaisella on oma tarinansa.","2025-11-30T15:02:24.337Z"
"melkein","almost","Olen melkein valmis.","2025-12-12T19:20:11.657Z"
"mansikka","strawberry","Minä rakastan mansikoita.","2025-04-03T06:16:57.224Z"
"tarkemmin","more precisely","Meidän on tutkittava tätä aluetta tarkemmin.","2026-01-15T11:47:45.058Z"
"lyhyt","short","Hänellä on lyhyt hiukset.","2025-11-30T15:01:51.784Z"
"että","that","Hän sanoi, että hän tulee huomenna.","2025-11-30T15:01:25.191Z"
"On myrsky","It's storming","Kun on myrsky, on parasta olla varovainen.","2025-11-30T15:01:57.990Z"
"housut","trousers","Housut ovat liian tiukat.","2025-12-09T11:01:08.725Z"
"keskiviikko","Wednesday","Meillä on kokous keskiviikkona.","2024-10-22T19:06:54.190Z"
"heinäkuu","July","Heinäkuussa on usein kauniita säitä.","2025-11-30T15:02:05.079Z"
